tsn;genus;species;en_com_name;fr_com_name;qc_code;on_tree_code;on_alpha_code;us_code;nb_code
21040;Coccoloba;costata;uvilla;NA;NA;NA;NA;6658;
21041;Coccoloba;krugii;whitewood;NA;NA;NA;NA;6660;
21042;Coccoloba;microstachya;puckhout;NA;NA;NA;NA;6661;
21043;Coccoloba;pubescens;grandleaf seagrape;NA;NA;NA;NA;6663;
21044;Coccoloba;pyrifolia;uvera;NA;NA;NA;NA;6664;
21045;Coccoloba;rugosa;ortegon;NA;NA;NA;NA;6665;
21047;Coccoloba;swartzii;Swartz's pigeonplum;NA;NA;NA;NA;6668;
21048;Coccoloba;venosa;false chiggergrape;NA;NA;NA;NA;6671;
21356;Ochna;;ochna;NA;NA;NA;NA;7977;
21360;Ouratea;ilicifolia;chicharron amarillo;NA;NA;NA;NA;8029;
21361;Ouratea;littoralis;abey amarillo;NA;NA;NA;NA;8030;
21362;Ouratea;striata;guanabanilla;NA;NA;NA;NA;8032;
21375;Ternstroemia;luquillensis;palo colorado;NA;NA;NA;NA;8763;
21376;Ternstroemia;peduncularis;copey vera;NA;NA;NA;NA;8764;
21377;Ternstroemia;stahlii;mamey de cura;NA;NA;NA;NA;8766;
21378;Ternstroemia;subsessilis;el yunque colorado;NA;NA;NA;NA;8767;
21380;Cleyera;albopunctata;teta prieta;NA;NA;NA;NA;6637;
21381;Eurya;;eurya;NA;NA;NA;NA;7120;
21382;Eurya;sandwicensis;anini;NA;NA;NA;NA;7119;
21386;Gordonia;lasianthus;loblolly-bay;NA;NA;NA;NA;555;
21388;Laplacea;portoricensis;nino de cota;NA;NA;NA;NA;7541;
21431;Hypericum;canariense;Canary Island St. Johnswort;NA;NA;NA;NA;7448;
21478;Calophyllum;;calophyllum;NA;NA;NA;NA;6345;
21482;Garcinia;;Garcinia;NA;NA;NA;NA;7221;
21484;Garcinia;mangostana;mangosteen;NA;NA;NA;NA;7214;
21488;Clusia;minor;cupey de monte;NA;NA;NA;NA;6650;
21490;Clusia;rosea;Scotch attorney;NA;NA;NA;NA;6651;
21491;Mammea;;Mammea;NA;NA;NA;NA;7655;
21492;Mammea;americana;mammee apple;NA;NA;NA;NA;7652;
21502;Muntingia;;muntingia;NA;NA;NA;NA;7868;
21503;Muntingia;calabura;strawberrytree;NA;NA;NA;NA;7867;
21505;Elaeocarpus;;Elaeocarpus;NA;NA;NA;NA;6983;
21506;Elaeocarpus;bifidus;kalia;NA;NA;NA;NA;6975;
21507;Sloanea;;bullwood;NA;NA;NA;NA;8622;
21508;Sloanea;amygdalina;motillo;NA;NA;NA;NA;8623;
21535;Tilia;;basswood ;NA;NA;NA;NA;950;
21536;Tilia;americana;"Basswood ;white basswood";Tilleul d'Amérique;TIL;51;Bd;952;
21536;Tilia;americana;"Basswood ;Carolina basswood";Tilleul d'Amérique;TIL;51;Bd;953;
21536;Tilia;americana;"Basswood ;American basswood";Tilleul d'Amérique;TIL;51;Bd;951;
21541;Tilia;platyphyllos;Big leaf linden;NA;NA;166;Bl;NA;
21546;Guazuma;ulmifolia;bastardcedar;NA;NA;NA;NA;7298;
21547;Melochia;;melochia;NA;NA;NA;NA;7767;
21591;Adansonia;digitata;baobab;NA;NA;NA;NA;6025;
21595;Ceiba;pentandra;kapoktree;NA;NA;NA;NA;6449;
21596;Ceiba;aesculifolia;pochote;NA;NA;NA;NA;6448;
21598;Quararibea;turbinata;swizzlestick tree;NA;NA;NA;NA;8422;
21602;Ochroma;pyramidale;Ochroma pyramidale;NA;NA;NA;NA;7980;
21604;Pachira;aquatica;miich era ngebard, guiana chestnut;NA;NA;NA;NA;8036;
21605;Pachira;insignis;wild chestnut;NA;NA;NA;NA;8037;
21611;Hibiscus;;rosemallow;NA;NA;NA;NA;7411;
21616;Hibiscus;rosa-sinensis;shoeblackplant;NA;NA;NA;NA;7410;
21629;Hibiscus;elatus;mahoe;NA;NA;NA;NA;7403;
21634;Hibiscus;mutabilis;Dixie rosemallow;NA;NA;NA;NA;7408;
21640;Hibiscus;arnottianus;white rosemallow;NA;NA;NA;NA;7393;
21641;Hibiscus;brackenridgei;Brackenridges rosemallow;NA;NA;NA;NA;7397;
21642;Hibiscus;clayi;red Kauai rosemallow;NA;NA;NA;NA;7402;
21645;Hibiscus;kokio;red rosemallow;NA;NA;NA;NA;7404;
21652;Hibiscus;waimeae;white Kauai rosemallow;NA;NA;NA;NA;7413;
21710;Gossypium;barbadense;Creole cotton;NA;NA;NA;NA;7262;
21711;Gossypium;hirsutum;Gossypium hirsutum;NA;NA;NA;NA;7264;
21746;Sida;fallax;yellow llima;NA;NA;NA;NA;8609;
21761;Thespesia;;thespesia;NA;NA;NA;NA;8788;
21762;Thespesia;populnea;Portia tree;NA;NA;NA;NA;8787;
21764;Thespesia;grandiflora;maga;NA;NA;NA;NA;8786;
21968;Hibiscadelphus;;hibiscadelphus;NA;NA;NA;NA;7390;
21969;Hibiscadelphus;bombycinus;hau kuahiwi;NA;NA;NA;NA;7384;
21970;Hibiscadelphus;distans;Kauai hau kuahiwi;NA;NA;NA;NA;7386;
21971;Hibiscadelphus;giffardianus;Kilauea hau kuahiwi;NA;NA;NA;NA;7387;
21972;Hibiscadelphus;hualalaiensis;Hualalai hau kuahiwi;NA;NA;NA;NA;7388;
21974;Kokia;;treecotton;NA;NA;NA;NA;7513;
21975;Kokia;cookei;Molokai treecotton;NA;NA;NA;NA;7509;
21976;Kokia;drynarioides;Hawaii treecotton;NA;NA;NA;NA;7510;
21977;Kokia;kauaiensis;Kauai treecotton;NA;NA;NA;NA;7511;
21978;Kokia;lanceolata;Wailupe Valley treecotton;NA;NA;NA;NA;7512;
22250;Bixa;;bixa;NA;NA;NA;NA;6239;
22251;Bixa;orellana;lipsticktree;NA;NA;NA;NA;6238;
22303;Tamarix;;saltcedar;NA;NA;NA;NA;991;
22306;Tamarix;aphylla;Athel tamarisk;NA;NA;NA;NA;8727;
22323;Carica;;papaya;NA;NA;NA;NA;6396;
22324;Carica;papaya;papaya;NA;NA;NA;NA;6395;
22444;Populus;;cottonwood and poplar ;Peuplier hybride;PEH;NA;NA;740;
22445;Populus;deltoides;"Cottonwood ;plains cottonwood";Peuplier à feuilles deltoïdes;PED;71;Pd;745;
22445;Populus;deltoides;"Cottonwood ;eastern cottonwood";Peuplier à feuilles deltoïdes;PED;71;Pd;742;
22451;Populus;alba;"Silver poplar ;silver poplar";NA;NA;76;Pl;752;
22452;Populus;angustifolia;narrowleaf cottonwood;NA;NA;NA;NA;749;
22453;Populus;balsamifera;"Balsam poplar ;balsam poplar";Peuplier baumier;PEB;73;Pb;741;183
22453;Populus;balsamifera;"Balsam poplar ;black cottonwood";Peuplier baumier;PEB;73;Pb;747;
22459;Populus;fremontii;Fremont cottonwood;NA;NA;NA;NA;748;
22463;Populus;grandidentata;"Large tooth aspen ;bigtooth aspen";Peuplier à grandes dents;PEG;70;Al;743;21
22465;Populus;heterophylla;swamp cottonwood;NA;NA;NA;NA;744;
22468;Populus;nigra;Lombardy poplar;NA;NA;NA;NA;753;
22476;Salix;;willow ;NA;NA;NA;NA;920;43
22484;Salix;nigra;black willow;NA;NA;NA;NA;922;
22499;Salix;amygdaloides;peachleaf willow;NA;NA;NA;NA;921;
22507;Salix;bebbiana;Bebb willow;NA;NA;NA;NA;923;
22508;Salix;bonplandiana;Bonpland willow;NA;NA;NA;NA;924;
22516;Salix;caroliniana;coastal plain willow;NA;NA;NA;NA;925;
22575;Salix;pyrifolia;balsam willow;NA;NA;NA;NA;926;
22668;Morisonia;americana;ratapple;NA;NA;NA;NA;7857;
23449;Cyrilla;racemiflora;swamp titi;NA;NA;NA;NA;6862;
23625;Arbutus;;madrone ;NA;NA;NA;NA;360;
23626;Arbutus;arizonica;Arizona madrone;NA;NA;NA;NA;362;
23627;Arbutus;menziesii;Pacific madrone;NA;NA;NA;NA;361;
23690;Oxydendrum;arboreum;sourwood;NA;NA;NA;NA;711;
23811;Chrysophyllum;cainito;star apple;NA;NA;NA;NA;6541;
23821;Manilkara;;Manilkara;NA;NA;NA;NA;7671;
23823;Manilkara;zapota;sapodilla;NA;NA;NA;NA;7674;
23825;Manilkara;bidentata;bulletwood;NA;NA;NA;NA;7662;
23825;Manilkara;bidentata;Surinam bulletwood;NA;NA;NA;NA;7663;
23826;Manilkara;pleeana;zapote de costa;NA;NA;NA;NA;7669;
23829;Pouteria;;pouteria;NA;NA;NA;NA;8306;
23830;Pouteria;campechiana;eggfruit;NA;NA;NA;NA;8299;
23831;Pouteria;dictyoneura;cocuyo;NA;NA;NA;NA;8300;
23836;Pouteria;sapota;mammee sapote;NA;NA;NA;NA;8305;
23837;Pouteria;hotteana;redmammee;NA;NA;NA;NA;8301;
23838;Pouteria;multiflora;bullytree;NA;NA;NA;NA;8302;
23842;Micropholis;garciniifolia;caimitillo verde;NA;NA;NA;NA;7828;
23853;Diospyros;;persimmon ;NA;NA;NA;NA;520;
23854;Diospyros;texana;Texas persimmon;NA;NA;NA;NA;522;
23855;Diospyros;virginiana;common persimmon;NA;NA;NA;NA;521;
23856;Diospyros;revoluta;black apple;NA;NA;NA;NA;6909;
23861;Diospyros;hillebrandii;elama;NA;NA;NA;NA;6906;
23863;Halesia;;silverbell ;NA;NA;NA;NA;580;
